GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jakarta-cdi-instance-handle,com.github.jonasrutishauser.jakarta.enterprise.inject.impl,CDI3ExtendedInstance.HandleImpl,0,63,2,4,0,12,2,7,0,6
jakarta-cdi-instance-handle,com.github.jonasrutishauser.jakarta.enterprise.inject.impl,ExtendedInstanceExtension,19,113,1,1,2,25,1,9,0,9
jakarta-cdi-instance-handle,com.github.jonasrutishauser.jakarta.enterprise.inject.impl,CDI4ExtendedInstance.HandleImpl,8,25,0,2,3,8,2,4,2,3
jakarta-cdi-instance-handle,com.github.jonasrutishauser.jakarta.enterprise.inject.impl,CDI4ExtendedInstance,0,53,0,0,0,9,0,6,0,6
jakarta-cdi-instance-handle,com.github.jonasrutishauser.jakarta.enterprise.inject.impl,ExtendedInstanceExtension.new InjectionPoint() {...},10,43,0,2,3,8,3,6,3,5
jakarta-cdi-instance-handle,com.github.jonasrutishauser.jakarta.enterprise.inject.impl,ExtendedInstanceProducer,5,44,0,4,1,11,1,5,1,3
jakarta-cdi-instance-handle,com.github.jonasrutishauser.jakarta.enterprise.inject.impl,CDI3ExtendedInstance,0,81,0,0,0,14,0,7,0,7
jakarta-cdi-instance-handle,com.github.jonasrutishauser.jakarta.enterprise.inject.impl,InstanceType,3,53,4,6,1,13,4,7,0,6
